"city","state","population"
"Fairfield","CA",112970
"Rochester","MN",112225
"Elgin","IL",112111
"Temecula","CA",112011
"West Jordan","UT",111946
"Inglewood","CA",111666
"Richardson","TX",110815
"Lowell","MA",110699
"Gresham","OR",110553
"Antioch","CA",110542
"Cambridge","MA",110402
"High Point","NC",110268
"Billings","MT",110263
"Manchester","NH",110229
"Murrieta","CA",109830
"Centennial","CO",109741
"Richmond","CA",109708
"San Buenaventura","CA",109708
"Pueblo","CO",109412
"Pearland","TX",108821
"Waterbury","CT",108802
"West Covina","CA",108484
"North Charleston","SC",108304
"Everett","WA",108010
"College Station","TX",107889
"Palm Bay","FL",107888
"Pompano Beach","FL",107762
"Boulder","CO",107349
"Norwalk","CA",107140
"West Palm Beach","FL",106779
"Broken Arrow","OK",106563
"Daly City","CA",106562
"Sandy Springs","GA",105330
"Burbank","CA",105319
"Green Bay","WI",105207
"Santa Maria","CA",105093
"Wichita Falls","TX",104710
"Lakeland","FL",104401
"Clovis","CA",104180
"Lewisville","TX",104039
"Tyler","TX",103700
"El Cajon","CA",103679
"San Mateo","CA",103536
"Rialto","CA",103132
"Davenport","IA",102582
"Hillsboro","OR",102347
"Las Cruces","NM",101643
"South Bend","IN",101516
"Vista","CA",100890
"Greeley","CO",100883
"Davie","FL",100882
"San Angelo","TX",100450
"Jurupa Valley","CA",100314
"Renton","WA",100242
"Roanoke","VA",99897
"Kenosha","WI",99858
"Erie","PA",99475
"Albany","NY",98469
"Compton","CA",98462
"Tuscaloosa","AL",98332
"League City","TX",98312
"Flint","MI",98310
"Allen","TX",98143
"Mission Viejo","CA",97156
"Vacaville","CA",96803
"Lawton","OK",96655
"Beaverton","OR",96577
"South Gate","CA",96401
"Portsmouth","VA",96201
"Sparks","NV",96094
"Brockton","MA",95314
"Dearborn","MI",95171
"Federal Way","WA",95171
"Lee's Summit","MO",95094
"New Bedford","MA",94958
"Spokane Valley","WA",94919
"Livonia","MI",94635
"Roswell","GA",94501
"Orem","UT",94457
"Rio Rancho","NM",94171
"Yuma","AZ",94139
"Lawrence","KS",93917
"Yakima","WA",93701
"Quincy","MA",93618
"Sandy","UT",93613
"Hesperia","CA",93295
"Carson","CA",93281
"Boca Raton","FL",93235
"Santa Monica","CA",93220
"San Marcos","CA",92931
"Sunrise","FL",92700
"Plantation","FL",92560
"Lynn","MA",92457
"Miami Beach","FL",92312
"Westminster","CA",92114
"Longmont","CO",92088
"Santa Barbara","CA",91842
"Redding","CA",91582
"Meridian","ID",90739
"San Leandro","CA",90712
"Greenville","NC",90597
"Chico","CA",90316
"Edmond","OK",90092
"Nampa","ID",89839
"Newton","MA",88817
"Fall River","MA",88777
"Carmel","IN",88713
"Fishers","IN",88658
"Asheville","NC",88512
"Norwalk","CT",88485
"Waukegan","IL",88475
"Deltona","FL",88474
"Hawthorne","CA",88451
"Fort Smith","AR",88194
"Suffolk","VA",88161
"Sugar Land","TX",88156
"Livermore","CA",88126
"Nashua","NH",87970
"Reading","PA",87879
"Concord","NC",87696
"Indio","CA",87533
"Whittier","CA",87438
"Kirkland","WA",87281
"Menifee","CA",87174
"Newport Beach","CA",87127
"Tracy","CA",87075
